date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
105/12/19,"844,547","70,365,201",83.9,83.9,82.9,83,-0.9,673
105/12/20,"1,034,361","86,645,912",83.2,84.6,83.1,83.6,0.6,725
105/12/21,"3,593,608","305,640,027",85,85.8,84.3,84.3,0.7,"2,263"
105/12/22,"1,019,376","85,882,833",85,85,83.9,83.9,-0.4,773
105/12/23,"937,424","78,575,346",83.8,84.5,83.4,83.4,-0.5,694
105/12/26,"1,230,475","103,520,821",83.7,85,83.1,84.4,1,778
105/12/27,"608,953","51,343,646",84.6,84.9,84.1,84.1,-0.3,435
105/12/28,"811,110","68,608,246",84.1,84.8,84.1,84.6,0.5,537
105/12/29,"1,666,382","141,780,180",84.6,85.5,84.3,84.8,0.2,"1,030"
105/12/30,"952,363","80,782,329",84.6,85.2,84.6,84.8,0,662
106/01/03,"1,893,129","161,225,065",84.1,85.6,83.8,85.5,0.7,"1,067"
106/01/04,"2,762,313","237,914,666",85.5,86.6,85.2,86,0.5,"1,753"
106/01/05,"1,514,256","130,247,618",85.8,86.5,85.3,86.1,0.1,"1,000"
106/01/06,"2,933,806","254,749,586",86,87.5,85.7,87,0.9,"1,912"
106/01/09,"3,515,056","308,764,563",87,88.5,87,87.8,0.8,"2,130"
106/01/10,"2,430,833","213,958,600",87.8,88.4,87.1,88.3,0.5,"1,384"
106/01/11,"3,492,510","309,989,245",88.3,89.7,87.7,89.1,0.8,"2,325"
106/01/12,"3,082,813","274,724,062",89,89.6,88.6,88.7,-0.4,"1,748"
106/01/13,"1,674,565","148,530,807",88.3,89.1,88.3,88.7,0,"1,090"
106/01/16,"2,294,991","199,956,101",88.5,88.5,86.7,86.7,-2,"1,504"
106/01/17,"1,831,631","160,379,816",87,88.2,86.4,88.2,1.5,"1,119"
106/01/18,"2,055,931","180,411,767",87.7,88.2,87.2,87.6,-0.6,"1,371"
106/01/19,"1,458,834","127,870,927",87,88.1,87,87.6,0,900
106/01/20,"1,173,746","102,970,901",87.5,87.9,87.5,87.7,0.1,728
106/01/23,"7,695,173","695,115,870",88.2,91.3,88.2,90.6,2.9,"4,293"
106/01/24,"8,374,627","745,444,103",89,89.8,88.3,89.7,-0.9,"4,096"
106/02/02,"6,683,092","614,924,930",90.5,93.1,90.5,92,2.3,"4,335"
106/02/03,"4,201,455","388,275,647",92.8,93.9,91.3,91.3,-0.7,"2,982"
106/02/06,"1,950,967","179,252,797",91.8,92.5,91.5,91.5,0.2,"1,563"
106/02/07,"3,554,354","321,649,012",91.5,91.8,90.1,90.5,-1,"2,642"
106/02/08,"2,542,482","231,281,162",90.7,91.7,90.2,91.6,1.1,"1,925"
106/02/09,"2,362,221","216,003,335",91.5,92.3,90.9,91,-0.6,"1,714"
106/02/10,"6,215,150","575,073,634",91.8,93,91.3,92,1,"3,985"
106/02/13,"6,816,177","642,448,560",92.2,96,91.6,94.9,2.9,"4,391"
106/02/14,"10,730,083","1,044,585,051",95.5,99.8,94.7,98,3.1,"6,665"
106/02/15,"5,878,438","574,465,648",98,98.9,96.5,96.5,-1.5,"3,873"
106/02/16,"3,296,886","314,653,132",96.7,96.9,94.8,95.1,-1.4,"2,143"
106/02/17,"3,008,163","284,169,422",95.1,95.1,94.2,94.2,-0.9,"1,995"
106/02/18,"2,388,758","226,680,810",94.2,95.8,93.6,95.5,1.3,"1,556"
106/02/20,"2,897,335","272,128,845",95.8,95.8,92.8,92.8,-2.7,"1,805"
106/02/21,"1,659,574","155,121,282",93.2,94,92.5,93.4,0.6,"1,198"
106/02/22,"2,383,683","224,119,832",94.9,94.9,93.5,93.5,0.1,"1,711"
106/02/23,"3,332,065","316,295,710",93.5,95.7,93,94.2,0.7,"2,418"
106/02/24,"2,465,842","233,529,797",94.3,95.1,93.7,94.5,0.3,"1,732"
106/03/01,"3,322,799","307,803,593",94.5,94.5,91.5,92.8,-1.7,"2,426"
106/03/02,"3,428,042","315,958,432",93.8,93.8,91.5,92.1,-0.7,"2,282"
106/03/03,"3,443,037","319,758,477",91.9,93.8,91.5,92.9,0.8,"2,142"
106/03/06,"1,781,163","164,880,523",93,93.2,92.2,92.4,-0.5,"1,295"
106/03/07,"4,867,385","460,774,131",93.1,95.5,93,95.4,3,"3,379"
106/03/08,"5,069,874","488,457,004",95.5,98,94.5,96.2,0.8,"3,254"
106/03/09,"3,934,321","373,098,095",95.9,96.2,94.2,95,-1.2,"2,965"
106/03/10,"2,688,773","251,558,962",94.3,94.5,93,94,-1,"2,009"
106/03/13,"2,140,880","201,882,621",94.4,95.1,93.7,93.8,-0.2,"1,574"
106/03/14,"1,874,065","178,451,909",94.1,96.2,94.1,95,1.2,"1,380"
106/03/15,"1,894,207","178,739,045",95,95,94,94.1,-0.9,"1,513"
106/03/16,"7,657,230","737,182,517",95,97.3,94.5,95.7,1.6,"4,752"
106/03/17,"3,501,019","337,557,287",95.6,97.2,94.9,96.9,1.2,"2,592"
106/03/20,"16,232,050","1,644,130,300",96.5,104,96.5,103.5,6.6,"8,754"
106/03/21,"5,102,174","526,702,748",103.5,104.5,102,102.5,-1,"3,179"
106/03/22,"7,517,978","760,264,092",100,104,99.3,103,0.5,"4,183"
106/03/23,"7,790,045","813,578,110",103,107.5,101.5,105,2,"4,664"
106/03/24,"4,762,562","500,179,886",106,107,103.5,103.5,-1.5,"2,943"
106/03/27,"2,761,841","284,169,282",103.5,104.5,102,102,-1.5,"1,558"
106/03/28,"6,809,623","679,060,961",103,103.5,97.8,99.5,-2.5,"3,438"
106/03/29,"5,001,644","511,521,188",101,103.5,100.5,102,2.5,"3,302"
106/03/30,"2,177,523","223,783,064",103,104,102,102,0,"1,546"
106/03/31,"10,482,075","1,113,739,875",103,108,103,105.5,3.5,"5,457"
106/04/05,"6,769,583","722,978,715",108,109.5,104.5,105,-0.5,"3,648"
106/04/06,"4,729,562","489,826,886",105,106.5,102,103,-2,"2,625"
106/04/07,"6,654,653","673,544,358",103,104,99.9,101.5,-1.5,"3,297"
106/04/10,"3,149,134","315,547,351",100.5,101.5,99.6,100.5,-1,"2,013"
