date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
106/12/21,"4,211,975","473,470,725",114.5,114.5,110.5,111,-3.5,"2,690"
106/12/22,"3,317,517","375,865,652",114,115,112,112.5,1.5,"2,166"
106/12/25,"2,567,820","284,721,100",112.5,113,110,110.5,-2,"1,680"
106/12/26,"13,341,179","1,385,931,937",109,110,100.5,102,-8.5,"8,219"
106/12/27,"4,231,646","438,305,989",101.5,105,101.5,104.5,2.5,"2,782"
106/12/28,"5,340,983","567,681,683",105,107.5,103.5,106.5,2,"3,093"
106/12/29,"1,661,171","177,510,703",107.5,108,105.5,106.5,0,"1,131"
107/01/02,"5,639,797","616,481,467",107,111,105.5,111,4.5,"3,229"
107/01/03,"4,569,507","498,865,492",112,112,108,108.5,-2.5,"2,743"
107/01/04,"3,042,210","330,561,774",109.5,110,107.5,107.5,-1,"1,914"
107/01/05,"3,072,874","330,458,392",109,109,106.5,107.5,0,"2,048"
107/01/08,"5,044,022","543,460,920",107.5,110.5,105.5,110,2.5,"2,866"
107/01/09,"6,055,140","652,680,401",111.5,111.5,106,106,-4,"3,381"
107/01/10,"4,809,057","505,429,941",106,107.5,103.5,104,-2,"3,055"
107/01/11,"4,481,138","475,420,766",104.5,107.5,104,107.5,3.5,"2,295"
107/01/12,"2,592,924","280,221,292",107,109.5,106.5,108,0.5,"1,609"
107/01/15,"4,972,346","549,689,877",109.5,112.5,108.5,110,2,"2,833"
107/01/16,"3,430,228","379,202,682",110,111.5,109,111,1,"2,169"
107/01/17,"2,081,383","230,446,130",111.5,111.5,110,110.5,-0.5,"1,358"
107/01/18,"3,338,992","372,679,120",111.5,112.5,110.5,110.5,0,"2,008"
107/01/19,"1,935,201","212,543,997",111,111,109,109.5,-1,"1,166"
107/01/22,"4,410,989","493,644,257",109.5,113.5,109.5,113,3.5,"2,718"
107/01/23,"5,179,673","588,444,549",113,115,111.5,113,0,"2,892"
107/01/24,"7,944,110","918,423,687",113.5,117,113,115.5,2.5,"4,140"
107/01/25,"4,099,957","477,004,523",116.5,118,115,116,0.5,"2,304"
107/01/26,"3,607,891","422,202,787",116.5,118,116,117,1,"2,099"
107/01/29,"7,897,234","944,102,580",118,121,117.5,120.5,3.5,"4,276"
107/01/30,"9,187,471","1,066,674,665",119,119.5,113,115.5,-5,"4,752"
107/01/31,"13,067,300","1,460,007,400",111,113.5,110,111,-4.5,"6,760"
107/02/01,"4,375,308","492,101,641",112,114,111.5,111.5,0.5,"2,645"
107/02/02,"4,784,215","545,343,725",113,115,112.5,115,3.5,"3,215"
107/02/05,"3,713,926","415,656,094",110.5,113.5,110,113.5,-1.5,"2,391"
107/02/06,"8,027,000","865,998,500",110.5,111.5,103.5,106,-7.5,"4,721"
107/02/07,"4,267,584","470,415,740",110,112,108,108.5,2.5,"2,580"
107/02/08,"2,720,993","297,329,244",110,110.5,108,109,0.5,"1,586"
107/02/09,"5,180,997","559,253,660",105,111.5,103.5,110.5,1.5,"2,908"
107/02/12,"3,701,751","402,831,465",111.5,111.5,108,108,-2.5,"2,205"
107/02/21,"2,942,964","325,696,504",110.5,112,108.5,111.5,3.5,"2,090"
107/02/22,"2,373,354","265,313,148",111,113,110,112.5,1,"1,638"
107/02/23,"5,499,587","630,421,108",113.5,116.5,113,113.5,1,"3,414"
107/02/26,"2,127,808","241,920,804",115.5,115.5,112.5,113,-0.5,"1,430"
107/02/27,"2,684,711","303,242,632",114.5,115,112,112,-1,"1,672"
107/03/01,"3,001,212","341,537,880",111,115,110.5,115,3,"1,913"
107/03/02,"2,086,877","237,131,528",113.5,114.5,112.5,113.5,-1.5,"1,328"
107/03/05,"2,272,952","256,284,654",114,114.5,111.5,111.5,-2,"1,224"
107/03/06,"1,387,513","156,006,456",113.5,113.5,112,112.5,1,968
107/03/07,"4,397,561","482,826,649",110,111,108.5,109,-3.5,"2,641"
107/03/08,"3,255,480","356,014,320",108.5,110.5,108,109,0,"2,039"
107/03/09,"1,822,571","200,841,810",110,111,109.5,110.5,1.5,"1,119"
107/03/12,"2,884,212","323,888,632",111.5,113,111,111.5,1,"1,481"
107/03/13,"3,283,512","364,568,332",110.5,112,110,111,-0.5,"1,942"
107/03/14,"2,003,672","220,827,920",110,111,109.5,110,-1,"1,384"
107/03/15,"1,513,135","167,277,205",110.5,111.5,110,110.5,0.5,873
107/03/16,"2,214,824","243,126,540",110.5,111.5,109,109,-1.5,"1,326"
107/03/19,"1,443,840","158,401,950",109.5,110.5,109,109.5,0.5,"1,097"
107/03/20,"1,359,481","147,818,429",108.5,109.5,108.5,109,-0.5,925
107/03/21,"2,419,849","264,430,041",109.5,110,109,109,0,"1,848"
107/03/22,"3,279,574","361,194,340",109.5,111.5,108.5,109.5,0.5,"2,215"
107/03/23,"6,341,489","669,824,581",105.5,107.5,104,104.5,-5,"3,922"
107/03/26,"5,835,392","599,848,268",103.5,104,102,103.5,-1,"3,442"
107/03/27,"3,951,486","410,462,769",105.5,106,102.5,103.5,0,"2,777"
107/03/28,"7,102,037","715,899,737",103,103,99.8,100,-3.5,"4,986"
107/03/29,"4,190,009","417,411,509",101,102,98.5,99.9,-0.1,"3,105"
107/03/30,"4,394,250","439,052,300",100.5,101.5,99,100,0.1,"2,865"
107/03/31,"2,050,915","203,934,610",100,100.5,98.9,99.2,-0.8,"1,545"
107/04/02,"3,391,194","334,927,434",99.8,100,98,98,-1.2,"2,419"
107/04/03,"8,802,943","832,561,272",96,96.6,93.5,94,-4,"5,662"
107/04/09,"5,688,062","543,630,352",95.7,97.2,94.9,95.6,1.6,"3,815"
107/04/10,"4,722,647","450,613,365",97,97.3,94.3,94.5,-1.1,"3,520"
107/04/11,"4,444,079","425,519,617",95.5,97,94.8,95.8,1.3,"2,964"
107/04/12,"5,606,792","547,722,912",96.9,99.3,96.1,99.2,3.4,"3,854"
107/04/13,"4,973,357","486,645,937",99.5,99.8,97,97.2,-2,"3,388"
107/04/16,"2,594,943","252,441,019",97.8,98.2,96.8,97.3,0.1,"1,940"
107/04/17,"2,423,581","236,801,768",98,98.2,97,97.9,0.6,"1,757"
107/04/18,"2,420,460","237,578,280",98.4,99.3,97.4,97.6,-0.3,"1,824"
107/04/19,"1,468,073","144,139,986",97.6,98.7,97.5,98.4,0.8,"1,085"
107/04/20,"2,159,157","211,975,586",98.3,98.9,97.6,97.9,-0.5,"1,551"
107/04/23,"4,721,519","449,339,886",97.9,98.8,93.4,93.5,-4.4,"3,012"
107/04/24,"8,344,182","738,907,851",93.3,93.3,86.4,88.1,-5.4,"5,311"
107/04/25,"4,355,806","378,208,757",85.7,88.5,84.2,88.2,0.1,"2,961"
107/04/26,"5,591,161","484,464,538",90,90,84.5,84.6,-3.6,"3,679"
107/04/27,"12,275,553","962,630,549",76.3,80,76.3,79.4,-5.2,"7,607"
107/04/30,"9,852,931","768,422,149",80.1,80.1,77.1,78.1,-1.3,"6,343"
107/05/02,"5,380,407","429,016,760",78.8,80.6,78.7,79.5,1.4,"3,805"
107/05/03,"2,556,074","202,106,385",78.3,79.8,78.2,78.8,-0.7,"1,701"
107/05/04,"3,313,677","264,511,294",79,80.3,78.9,80,1.2,"2,295"
107/05/07,"6,169,938","505,895,816",82.2,83.3,80.5,83,3,"3,750"
107/05/08,"6,284,862","539,408,202",83.7,87.6,83.7,86,3,"4,059"
107/05/09,"3,600,568","307,748,730",86.5,86.5,84.6,85,-1,"2,473"
107/05/10,"2,196,443","188,992,245",85.2,86.7,85.2,85.6,0.6,"1,543"
107/05/11,"2,306,521","199,231,949",86,87,86,86.1,0.5,"1,612"
107/05/14,"2,147,597","184,561,242",86.3,86.9,85.2,85.6,-0.5,"1,334"
107/05/15,"1,883,538","161,990,068",86,86.5,85.6,85.7,0.1,"1,192"
107/05/16,"2,583,861","218,014,424",85.5,86.2,83,83,-2.7,"1,775"
107/05/17,"2,652,139","225,730,933",83.5,85.8,83.5,85.2,2.2,"1,774"
107/05/18,"1,359,978","116,375,308",85.2,86.1,84.8,85.6,0.4,932
107/05/21,"3,697,729","325,941,409",86.5,89.2,85.9,88.2,2.6,"2,564"
107/05/22,"2,237,845","197,477,003",89.2,89.8,87.4,88.3,0.1,"1,613"
107/05/23,"1,336,290","116,929,471",88.3,88.3,87.1,87.4,-0.9,977
107/05/24,"1,131,367","99,286,896",87.6,88.2,87.4,87.8,0.4,779
107/05/25,"1,579,761","137,709,874",87.5,87.7,86.6,86.9,-0.9,"1,059"
107/05/28,"2,487,576","218,405,924",86.9,88.6,86.9,87.7,0.8,"1,469"
107/05/29,"2,423,753","210,377,953",87.7,88,86.3,86.3,-1.4,"1,528"
107/05/30,"2,534,863","219,739,681",86.3,87.3,86,86.6,0.3,"1,482"
107/05/31,"2,247,550","195,105,950",87,87.3,86.3,86.8,0.2,"1,208"
107/06/01,"2,650,293","232,479,634",87,88.4,86.4,87.8,1,"1,692"
107/06/04,"3,785,922","339,204,718",88.5,90.5,88.3,90.5,2.7,"2,335"
107/06/05,"2,503,274","226,841,723",91.5,91.8,89.5,89.6,-0.9,"1,657"
107/06/06,"2,335,103","211,098,073",90.4,91,89.7,91,1.4,"1,556"
107/06/07,"3,332,344","306,346,767",91.5,92.6,90.9,92.1,1.1,"2,026"
107/06/08,"2,190,745","200,604,935",92.3,92.8,91,91,-1.1,"1,332"
107/06/11,"1,392,992","126,815,656",91.3,92,90.2,91.7,0.7,856
107/06/12,"4,325,704","406,384,156",93.5,94.8,93.1,93.6,1.9,"2,467"
107/06/13,"3,756,015","355,164,012",93.4,95.7,92.6,95.2,1.6,"2,324"
107/06/14,"3,918,924","374,885,480",95.2,96.8,94.2,95,-0.2,"2,465"
107/06/15,"6,374,752","620,943,430",97,98.4,96.5,97.4,2.4,"3,708"
107/06/19,"2,762,830","264,713,650",97.2,97.3,95,95,-2.4,"1,963"
107/06/20,"3,227,861","301,319,778",94.5,95.1,92.2,92.6,-2.4,"2,078"
107/06/21,"1,600,298","150,780,010",93,94.8,93,94.7,2.1,"1,160"
107/06/22,"2,138,434","200,334,317",93.5,94.7,93.1,93.2,-1.5,"1,357"
107/06/25,"2,120,806","196,635,430",93.6,94,92.1,92.3,-0.9,"1,205"
107/06/26,"2,817,868","256,133,521",91.1,91.6,90.1,90.9,-1.4,"1,626"
107/06/27,"3,850,640","363,445,974",91.6,95.7,91.6,94.7,3.8,"2,663"
107/06/28,"1,952,226","182,363,918",93.3,94.3,92.8,93,-1.7,"1,278"
107/06/29,"1,791,708","169,440,052",94.4,95.5,93.6,94,1,"1,155"
107/07/02,"1,724,675","164,130,414",94.7,96.5,94,94,0,"1,340"
107/07/03,"1,618,909","151,943,576",94.5,95.2,92.5,93.1,-0.9,"1,050"
107/07/04,"1,677,491","157,220,633",93.3,94.8,92.3,94.8,1.7,"1,208"
107/07/05,"1,789,911","168,891,367",95.4,95.8,93,93.2,-1.6,"1,278"
107/07/06,"2,848,470","263,507,700",94.2,94.5,91.4,93.5,0.3,"1,678"
107/07/09,"2,106,434","199,368,630",94.6,95.1,94.2,95,1.5,"1,254"
107/07/10,"1,804,423","172,382,373",96,96.2,94.7,95.4,0.4,"1,366"
107/07/11,"1,421,782","135,382,377",94.5,96,94.2,95,-0.4,"1,071"
107/07/12,"6,269,483","613,096,034",96.2,98.7,95.8,97.9,2.9,"4,107"
107/07/13,"8,835,535","884,389,950",98.4,101,98.4,100.5,2.6,"5,087"
107/07/16,"12,079,838","1,254,300,652",102.5,105,102,104,3.5,"6,694"
107/07/17,"3,778,588","389,766,564",103.5,104.5,102.5,103,-1,"2,697"
107/07/18,"10,967,177","1,169,284,661",104.5,108,104.5,105.5,2.5,"6,396"
107/07/19,"4,529,656","478,198,536",107,107.5,104,106,0.5,"3,143"
107/07/20,"4,147,232","442,563,963",106.5,108.5,105,105.5,-0.5,"2,809"
107/07/23,"5,334,954","552,481,271",106,106.5,102,102.5,-3,"3,972"
107/07/24,"4,448,878","452,870,488",102,103.5,101,102.5,0,"2,930"
107/07/25,"4,933,869","510,180,007",103,105.5,101.5,103,0.5,"3,210"
107/07/26,"6,320,027","635,660,000",103,103,99.6,99.8,-3.2,"4,053"
107/07/27,"17,610,568","1,781,415,639",98.3,104.5,96.6,104.5,4.7,"10,051"
107/07/30,"8,495,878","899,580,996",105,107,104,107,2.5,"5,348"
107/07/31,"8,258,733","879,535,789",106.5,108,103.5,108,1,"4,843"
107/08/01,"4,029,031","433,949,320",108,108.5,107,108,0,"2,732"
107/08/02,"3,942,867","424,760,136",108.5,109.5,106,108,0,"2,638"
107/08/03,"3,855,644","417,904,359",109,109.5,107,108,0,"2,456"
107/08/06,"10,925,814","1,216,143,738",108.5,113,108.5,111.5,3.5,"6,203"
107/08/07,"5,669,035","629,694,885",111.5,112,110,111.5,0,"3,449"
107/08/08,"6,490,786","682,994,536",106.5,107.5,104,104,0,"3,942"
107/08/09,"2,260,230","235,317,420",105,105.5,103,103.5,-0.5,"1,557"
107/08/10,"1,550,702","160,209,948",104,104.5,102.5,102.5,-1,"1,166"
107/08/13,"4,523,431","462,962,662",102,105.5,99.9,101.5,-1,"3,046"
107/08/14,"2,632,674","269,668,922",103,104,101.5,102.5,1,"1,884"
107/08/15,"4,128,332","415,080,800",103,103,99.6,100,-2.5,"3,108"
107/08/16,"2,798,967","281,140,946",100,102,98,101,1,"2,158"
107/08/17,"3,761,809","379,392,191",102.5,103.5,98.6,98.6,-2.4,"2,592"
107/08/20,"7,031,587","664,015,491",98.5,99.6,91.1,91.3,-7.3,"4,544"
107/08/21,"4,235,899","398,678,586",93.2,95.2,92.2,95,3.7,"2,890"
107/08/22,"1,831,157","172,250,985",95,95.1,93.5,93.5,-1.5,"1,362"
107/08/23,"1,337,319","124,938,922",93.3,94.6,92.8,93,-0.5,919
107/08/24,"2,785,409","251,825,119",93,93,89.2,90.5,-2.5,"2,010"
107/08/27,"2,686,381","249,279,389",91,93.9,91,93.5,3,"2,115"
107/08/28,"2,746,529","260,885,549",94,96,94,95,1.5,"1,919"
107/08/29,"5,375,218","523,923,700",96,98.3,95.8,97.8,2.8,"3,434"
107/08/30,"4,045,044","398,261,856",98,99.5,97.2,99,1.2,"2,981"
107/08/31,"1,827,714","179,551,386",99,99,97.2,99,0,"1,410"
107/09/03,"1,978,302","193,838,194",98,99,97.2,97.2,-1.8,"1,445"
107/09/04,"1,134,851","111,279,933",98,98.7,97.3,97.8,0.6,902
107/09/05,"1,777,935","174,927,895",98.5,99.7,97,97,-0.8,"1,328"
107/09/06,"4,155,220","394,185,580",96.9,98,93.1,93.4,-3.6,"3,204"
107/09/07,"5,215,967","476,768,964",93.1,94,89.6,91.8,-1.6,"3,786"
107/09/10,"5,466,332","489,820,416",92.1,92.8,87.2,87.7,-4.1,"3,171"
107/09/11,"2,505,722","223,455,660",88.3,90.6,87.5,90,2.3,"1,780"
107/09/12,"2,569,637","232,309,745",90.1,91.4,88.5,91.3,1.3,"1,892"
107/09/13,"3,258,144","301,186,379",92.8,93.5,91.2,92.3,1,"2,475"
107/09/14,"1,991,888","185,938,919",93.4,93.8,92.6,93.5,1.2,"1,401"
107/09/17,"1,170,869","108,632,331",92.5,93.9,92,92.7,-0.8,910
107/09/18,"5,449,909","489,809,010",92.5,92.5,88.6,89.5,-3.2,"3,529"
107/09/19,"1,530,303","137,762,970",90,90.7,89.6,89.6,0.1,"1,135"
107/09/20,"9,187,601","780,362,152",90.1,90.5,83,84.5,-5.1,"5,827"
107/09/21,"4,385,790","377,817,106",84.5,88.5,83.2,88.5,4,"3,138"
107/09/25,"1,648,822","144,196,699",86.5,88.4,86.1,87.6,-0.9,"1,350"
107/09/26,"2,745,337","238,928,349",87.7,88.6,86.2,86.5,-1.1,"2,132"
107/09/27,"4,005,029","351,996,311",86.1,89.5,86.1,89.5,3,"2,782"
107/09/28,"3,193,465","279,076,585",88.8,89.3,86.4,86.6,-2.9,"2,257"
107/10/01,"1,014,074","89,067,546",86.9,88.4,86.9,87.9,1.3,761
107/10/02,"1,030,401","90,441,646",88,88.7,87.4,87.4,-0.5,785
107/10/03,"1,008,677","87,462,053",87.4,87.9,86.1,86.2,-1.2,829
107/10/04,"1,010,774","87,367,504",86,87.4,85,86.7,0.5,828
107/10/05,"2,804,315","239,422,377",87,87,83.3,86,-0.7,"1,905"
107/10/08,"1,522,191","131,089,526",85.2,87.3,85,85.9,-0.1,"1,070"
107/10/09,"2,838,979","239,558,013",85.5,86.1,83.3,84.5,-1.4,"1,834"
107/10/11,"6,283,099","481,189,366",76.5,79,76.1,76.1,-8.4,"3,653"
107/10/12,"3,264,524","253,171,938",74.1,79.5,74.1,79,2.9,"2,244"
107/10/15,"2,119,305","169,837,850",78.6,81.5,77.5,81.5,2.5,"1,531"
107/10/16,"1,723,448","141,948,353",80.7,83.1,80.7,81.6,0.1,"1,339"
107/10/17,"1,856,371","152,434,467",83.2,83.8,81.1,81.1,-0.5,"1,423"
107/10/18,"1,005,626","81,977,361",81.1,82.4,80.7,81.9,0.8,807
107/10/19,"3,175,068","254,806,580",80,80.8,79.3,80.5,-1.4,"1,512"
107/10/22,"2,150,741","173,605,349",80.5,81.9,80,80.1,-0.4,"1,458"
107/10/23,"1,182,714","94,635,472",79.3,80.8,79.3,79.6,-0.5,902
107/10/24,"2,141,627","173,259,530",79.9,81.8,79.5,80.6,1,"1,612"
107/10/25,"2,762,147","214,323,430",77,79,77,77,-3.6,"2,026"
107/10/26,"2,823,801","216,288,353",78.2,78.7,75.5,75.5,-1.5,"1,901"
107/10/29,"1,718,063","129,430,688",76.4,76.9,74.1,75,-0.5,"1,181"
107/10/30,"5,498,162","425,756,836",76.7,79.3,76,76,1,"3,791"
107/10/31,"3,769,222","293,691,216",76.9,78.7,76.9,77.7,1.7,"2,679"
107/11/01,"12,750,118","1,069,581,565",79.7,85.4,79.1,85.4,7.7,"6,464"
107/11/02,"7,960,128","678,101,210",85.4,88,83.6,84.2,-1.2,"5,388"
107/11/05,"3,464,083","288,722,172",83,84.6,82.2,82.3,-1.9,"2,096"
107/11/06,"8,034,722","632,475,534",82.9,83.1,77,77.1,-5.2,"5,270"
107/11/07,"3,652,883","289,341,268",78.5,80,78.3,79.3,2.2,"2,400"
107/11/08,"2,415,072","192,150,888",81.7,81.8,78.5,78.6,-0.7,"1,774"
107/11/09,"3,067,619","242,035,701",80.6,80.8,77.1,78.6,0,"2,068"
107/11/12,"3,509,361","277,619,180",78,80.1,77.5,79.5,0.9,"2,322"
107/11/13,"3,234,444","251,090,083",75.3,78.8,75.3,78.4,-1.1,"2,187"
107/11/14,"2,664,200","210,750,654",79,80.7,78.2,78.5,0.1,"1,838"
107/11/15,"4,487,098","358,816,542",79.9,80.6,79.3,79.3,0.8,"3,072"
107/11/16,"3,983,342","321,593,860",80.6,82,79.8,80,0.7,"2,774"
107/11/19,"3,215,726","254,488,683",80.6,80.6,78.5,78.8,-1.2,"2,274"
107/11/20,"1,681,572","131,429,797",78.1,78.9,77.3,78.5,-0.3,"1,191"
107/11/21,"1,511,405","119,016,675",78.3,79.3,77.5,79.1,0.6,"1,106"
107/11/22,"2,280,300","181,958,000",79.4,80.8,79.1,79.1,0,"1,425"
107/11/23,"2,495,179","194,209,934",78.8,79.4,77.1,77.7,-1.4,"1,768"
107/11/26,"1,881,216","146,324,755",77.9,78.9,77.1,77.3,-0.4,"1,215"
107/11/27,"2,636,443","202,875,454",77.9,78,76.5,77.5,0.2,"1,963"
107/11/28,"2,787,744","219,020,840",77.7,79.3,77.7,78.9,1.4,"1,977"
107/11/29,"3,749,268","300,695,181",79.9,81,79.3,79.4,0.5,"2,614"
107/11/30,"3,236,414","261,343,976",79.8,81.5,79.8,80.6,1.2,"1,966"
107/12/03,"10,207,330","874,174,229",82,88.2,81.9,87.8,7.2,"6,142"
107/12/04,"5,230,871","450,746,636",87.6,87.6,85.2,85.6,-2.2,"3,786"
107/12/05,"4,774,656","393,467,319",83,83.9,81.3,82.3,-3.3,"2,978"
107/12/06,"6,108,628","485,007,051",81.3,82.3,78,78.2,-4.1,"4,112"
107/12/07,"1,842,419","146,691,773",78.6,80.4,78.6,79.8,1.6,"1,299"
107/12/10,"4,057,768","311,495,477",77.1,77.5,76.1,77,-2.8,"2,892"
107/12/11,"2,847,148","218,376,907",77,77.2,76.3,76.6,-0.4,"1,758"
107/12/12,"2,131,775","167,943,725",78.5,79.5,78.1,79,2.4,"1,505"
107/12/13,"1,500,957","119,152,785",80,80,78.5,79,0,"1,052"
107/12/14,"1,067,011","83,923,467",79.6,79.6,78.1,78.9,-0.1,849
107/12/17,"2,006,878","156,830,284",78.5,78.9,77.6,77.7,-1.2,"1,205"
107/12/18,"1,220,817","94,195,337",77,78.1,76.5,77.6,-0.1,905
107/12/19,"698,297","54,362,381",78.1,78.3,77.6,77.6,0,571
107/12/20,"1,851,160","141,202,185",77,77.6,75.6,75.6,-2,"1,283"
107/12/21,"2,502,726","187,674,576",75.1,76,74.3,75.7,0.1,"1,764"
107/12/22,"515,671","38,727,767",75.1,75.4,74.7,75.2,-0.5,373
107/12/24,"782,840","59,493,410",76,76.5,75.3,76,0.8,633
107/12/25,"1,193,146","89,403,120",75.1,75.5,74.4,75,-1,815
107/12/26,"1,001,441","75,092,648",75,75.9,74.5,74.5,-0.5,742
107/12/27,"1,463,776","110,820,617",76,76.4,75.1,75.8,1.3,972
107/12/28,"3,266,494","243,846,450",75.8,75.8,74.1,74.5,-1.3,"2,008"
108/01/02,"1,222,259","91,930,521",75.1,75.7,74.7,75.3,0.8,890
108/01/03,"6,914,643","494,378,908",75,75.2,69,70.6,-4.7,"4,473"
108/01/04,"4,999,320","344,955,043",69,70.5,66.9,70,-0.6,"3,237"
108/01/07,"1,916,033","136,664,541",71.7,72.1,70.6,71,1,"1,339"
108/01/08,"3,875,488","267,132,107",70.3,70.5,68.3,68.8,-2.2,"2,866"
108/01/09,"8,917,494","614,720,323",67.4,70.5,66.8,70,1.2,"5,490"
108/01/10,"5,272,010","363,991,083",69.3,69.9,68.3,68.3,-1.7,"3,535"
108/01/11,"2,719,013","186,656,982",68.3,69.2,68.2,68.5,0.2,"1,898"
108/01/14,"2,861,586","199,069,591",69,70.2,68.8,69.6,1.1,"1,939"
108/01/15,"2,735,954","190,859,581",69.4,70.2,69.1,69.8,0.2,"1,842"
108/01/16,"4,454,454","315,003,633",69.8,71.6,69.6,70.4,0.6,"3,118"
108/01/17,"6,341,846","457,844,358",71.2,73.6,70.7,73,2.6,"4,211"
108/01/18,"6,992,746","519,349,642",72,75.9,72,74.8,1.8,"4,257"
108/01/21,"3,193,317","237,479,907",74.9,75.6,73.6,73.9,-0.9,"1,975"
108/01/22,"2,486,450","181,971,480",74,74.5,72.1,72.1,-1.8,"1,772"
108/01/23,"2,617,237","189,798,179",72.6,73.5,71.8,72.4,0.3,"1,758"
108/01/24,"2,141,804","154,639,485",72.5,73.2,71.6,71.8,-0.6,"1,372"
108/01/25,"2,912,500","212,629,794",72,73.6,72,73.2,1.4,"1,833"
108/01/28,"3,418,993","252,563,578",73.4,74.9,73.1,73.5,0.3,"1,952"
108/01/29,"4,045,396","299,722,515",73.4,74.7,72.6,74.5,1,"2,753"
108/01/30,"3,753,149","281,505,611",74.6,75.3,74.3,75.2,0.7,"2,196"
108/02/11,"5,728,695","441,121,058",76,78,75.6,78,2.8,"3,630"
108/02/12,"5,877,558","465,606,305",77.9,80,77.9,79,1,"3,758"
108/02/13,"3,464,164","269,803,734",79.4,79.4,77.3,77.8,-1.2,"2,421"
108/02/14,"7,381,413","588,326,465",77.9,80.3,77.9,80.2,2.4,"4,560"
108/02/15,"27,854,085","2,432,786,072",85.5,88.2,85,88.2,8,"14,100"
108/02/18,"17,991,194","1,613,293,009",89.5,90.4,88.7,90.4,2.2,"10,121"
108/02/19,"5,697,559","510,967,476",89.3,90.5,88.8,90.5,0.1,"3,661"
108/02/20,"11,388,764","1,052,473,635",91,94.6,90.8,91.3,0.8,"7,360"
108/02/21,"4,979,180","456,525,965",92.6,92.8,90.1,92.8,1.5,"3,535"
108/02/22,"2,747,927","253,983,541",92.4,93.3,91.8,92.5,-0.3,"2,002"
108/02/25,"3,248,548","301,020,179",92.7,93.6,91.9,92.6,0.1,"2,070"
108/02/26,"4,769,335","435,778,830",93.2,93.6,90.2,90.6,-2,"3,163"
108/02/27,"5,604,229","500,401,426",90.6,91.1,88.2,89.9,-0.7,"3,486"
108/03/04,"4,180,899","378,625,863",91.2,91.9,89.8,90.2,0.3,"2,703"
108/03/05,"2,191,374","197,123,427",89.8,90.5,89.3,90,-0.2,"1,350"
108/03/06,"2,805,826","253,137,258",90,90.9,89.8,90.1,0.1,"2,104"
108/03/07,"7,051,451","640,526,172",90.8,92.9,88.9,89,-1.1,"4,478"
108/03/08,"4,924,941","431,360,549",86.9,89,86.4,89,0,"3,244"
108/03/11,"3,245,999","291,793,496",89,90.7,88.9,90.2,1.2,"2,040"
108/03/12,"3,211,763","290,902,769",91.7,91.9,89.6,89.6,-0.6,"2,207"
108/03/13,"3,002,943","268,714,285",89.1,90.1,89.1,89.5,-0.1,"1,702"
108/03/14,"2,062,161","185,380,022",89.5,90.4,89.5,89.7,0.2,"1,478"
108/03/15,"3,005,472","272,766,191",90.1,91.7,89.8,90.7,1,"2,027"
108/03/18,"5,072,372","464,376,447",91.7,92.6,91,91.2,0.5,"3,473"
108/03/19,"9,359,611","865,406,092",92,93.9,91.3,91.3,0.1,"5,788"
108/03/20,"4,857,335","439,735,471",91.3,92,90,90.1,-1.2,"3,056"
108/03/21,"2,673,726","243,047,034",90.6,91.7,90.1,90.5,0.4,"1,800"
108/03/22,"5,184,435","475,083,635",92,92.8,90.5,90.7,0.2,"2,916"
108/03/25,"5,556,351","490,888,390",89.5,89.7,87.6,88,-2.7,"3,775"
108/03/26,"2,364,020","210,112,768",88.2,89.3,88.2,88.6,0.6,"1,720"
108/03/27,"4,041,532","364,673,434",89.3,90.9,89.1,90.5,1.9,"2,826"
108/03/28,"2,186,056","197,760,163",90.7,91.4,89.8,89.8,-0.7,"1,535"
108/03/29,"8,876,808","817,250,144",91.6,92.8,90.9,92.8,3,"5,086"
108/04/01,"13,959,666","1,326,265,373",94.8,96.5,93.4,94.3,1.5,"8,629"
108/04/02,"4,933,255","465,542,930",95.3,95.6,93.6,93.8,-0.5,"3,414"
108/04/03,"4,889,371","456,797,386",94,94.6,91.8,93.5,-0.3,"3,456"
108/04/08,"3,934,602","372,263,151",94,95.5,93.6,95.1,1.6,"2,622"
108/04/09,"10,174,178","975,517,032",98.5,98.8,93.9,94,-1.1,"6,848"
108/04/10,"3,116,605","295,028,782",94.1,95.3,93.5,95.2,1.2,"2,180"
108/04/11,"3,890,688","369,079,987",95.3,95.8,93.8,93.8,-1.4,"2,660"
108/04/12,"7,488,416","710,513,377",93.8,96.2,93.8,94.7,0.9,"3,798"
108/04/15,"10,153,136","984,467,982",95.7,98,94.7,97.1,2.4,"6,139"
108/04/16,"15,611,131","1,581,409,258",99.1,103.5,98.8,102,4.9,"8,915"
108/04/17,"8,651,120","888,779,500",103.5,105.5,100,100,-2,"5,457"
108/04/18,"6,485,986","658,617,081",101.5,103.5,100,100.5,0.5,"3,819"
108/04/19,"6,044,213","616,402,439",102.5,103,100.5,103,2.5,"3,484"
108/04/22,"9,305,436","957,495,972",102.5,104.5,100.5,102,-1,"5,469"
108/04/23,"10,942,788","1,073,858,624",102.5,102.5,97,97.5,-4.5,"6,949"
108/04/24,"3,878,702","376,480,908",98,98,96.5,96.7,-0.8,"2,864"
108/04/25,"9,380,504","927,208,528",96.8,100.5,96.1,98.3,1.6,"6,044"
108/04/26,"8,852,803","844,628,515",97.2,97.7,94.8,95,-3.3,"5,757"
108/04/29,"4,405,114","414,470,722",95.2,96.1,93,93.5,-1.5,"2,563"
